Mode,Time(s),Value
CAP,132.1343841553,1.700478E-10
CAP,132.5349273682,1.701419E-10
CAP,132.9356536865,1.700868E-10
CAP,133.3362579346,1.701191E-10
CAP,133.7372283936,1.700699E-10
CAP,134.1379852295,1.701085E-10
CAP,134.5387573242,1.701166E-10
CAP,134.9394378662,1.700783E-10
CAP,135.3401184082,1.699894E-10
CAP,135.7408447266,1.700515E-10
CAP,136.1414184570,1.701731E-10
CAP,136.5422210693,1.701364E-10
CAP,136.9428405762,1.701934E-10
CAP,137.3435668945,1.700405E-10
CAP,137.7442932129,1.700956E-10
CAP,138.1450500488,1.701228E-10
CAP,138.5459136963,1.701077E-10
CAP,138.9467468262,1.702481E-10
CAP,139.3473815918,1.702364E-10
CAP,139.7481536865,1.702191E-10
CAP,140.1489715576,1.702172E-10
CAP,140.5496520996,1.702158E-10
CAP,140.9504394531,1.702066E-10
CAP,141.3511352539,1.701901E-10
CAP,141.7517700195,1.702139E-10
CAP,142.1525115967,1.702059E-10
CAP,142.5531311035,1.702088E-10
CAP,142.9537963867,1.702294E-10
CAP,143.3545989990,1.701959E-10
CAP,143.7555541992,1.702536E-10
CAP,144.1560211182,1.702136E-10
CAP,144.5567016602,1.701875E-10
CAP,144.9574737549,1.701110E-10
CAP,145.3581848145,1.700805E-10
CAP,145.7588806152,1.700769E-10
CAP,146.1596221924,1.700989E-10
CAP,146.5602722168,1.700912E-10
CAP,146.9609375000,1.700993E-10
CAP,147.3616485596,1.700394E-10
CAP,147.7624816895,1.701551E-10
CAP,148.1631469727,1.701169E-10
CAP,148.5638885498,1.701033E-10
CAP,148.9684753418,1.700721E-10
CAP,149.3693237305,1.700975E-10
CAP,149.7699890137,1.700846E-10
CAP,150.1707153320,1.701125E-10
CAP,150.5714416504,1.700776E-10
CAP,150.9721221924,1.700482E-10
CAP,151.3728027344,1.700897E-10
CAP,151.7734680176,1.700688E-10
CAP,152.1742095947,1.700673E-10
CAP,152.5748443604,1.700677E-10
CAP,152.9755859375,1.700739E-10
CAP,153.3762664795,1.700861E-10
CAP,153.7795867920,1.700747E-10
CAP,154.1802825928,1.700244E-10
CAP,154.5809936523,1.700497E-10
CAP,154.9817504883,1.700666E-10
CAP,155.3825225830,1.700806E-10
CAP,155.7832183838,1.700181E-10
CAP,156.1839752197,1.700523E-10
CAP,156.5847930908,1.700520E-10
CAP,156.9854583740,1.700519E-10
CAP,157.3861389160,1.700548E-10
CAP,157.7867889404,1.700515E-10
CAP,158.1874694824,1.700567E-10
CAP,158.5881347656,1.700019E-10
CAP,158.9888305664,1.700526E-10
CAP,159.3897247314,1.700395E-10
CAP,159.7905578613,1.700358E-10
CAP,160.1913604736,1.700347E-10
CAP,160.5920410156,1.700692E-10
CAP,160.9927825928,1.701155E-10
CAP,161.3934631348,1.701959E-10
CAP,161.7942047119,1.703426E-10
CAP,162.1947631836,1.702169E-10
CAP,162.5954742432,1.703687E-10
CAP,162.9962615967,1.704831E-10
CAP,163.3969573975,1.704301E-10
CAP,163.7977142334,1.703900E-10
CAP,164.1984405518,1.701566E-10
CAP,164.5990600586,1.703809E-10
CAP,164.9998016357,1.703570E-10
CAP,165.4006195068,1.702500E-10
CAP,165.8013305664,1.701871E-10
CAP,166.2021484375,1.701566E-10
CAP,166.6028137207,1.700975E-10
CAP,167.0034942627,1.701235E-10
CAP,167.4041748047,1.701022E-10
CAP,167.8049163818,1.700574E-10
CAP,168.2055816650,1.701147E-10
CAP,168.6063385010,1.701250E-10
CAP,169.0069885254,1.701147E-10
CAP,169.4077148438,1.701408E-10
CAP,169.8085632324,1.701070E-10
CAP,170.2091979980,1.701022E-10
CAP,170.6099548340,1.701092E-10
CAP,171.0107879639,1.703069E-10
CAP,171.4114074707,1.703125E-10
CAP,171.8122863770,1.702834E-10
CAP,172.2130432129,1.702014E-10
CAP,172.6136932373,1.701360E-10
CAP,173.0144195557,1.701485E-10
CAP,173.4150543213,1.700941E-10
CAP,173.8183135986,1.701342E-10
CAP,174.2230682373,1.701291E-10
CAP,174.6237792969,1.701232E-10
CAP,175.0244903564,1.701673E-10
CAP,175.4252166748,1.701856E-10
CAP,175.8259429932,1.701585E-10
CAP,176.2266235352,1.702195E-10
CAP,176.6273956299,1.700548E-10
CAP,177.0281829834,1.701214E-10
CAP,177.4292144775,1.701434E-10
CAP,177.8296966553,1.701574E-10
CAP,178.2305603027,1.701644E-10
CAP,178.6312713623,1.701276E-10
CAP,179.0319213867,1.701904E-10
CAP,179.4326171875,1.701144E-10
CAP,179.8333129883,1.701368E-10
CAP,180.2340087891,1.701081E-10
CAP,180.6347656250,1.701860E-10
CAP,181.0354919434,1.701518E-10
CAP,181.4361724854,1.701140E-10
CAP,181.8368530273,1.701460E-10
CAP,182.2375946045,1.701382E-10
CAP,182.6383361816,1.701393E-10
CAP,183.0389862061,1.701500E-10
CAP,183.4397277832,1.701511E-10
CAP,183.8403778076,1.701467E-10
CAP,184.2411041260,1.702044E-10
CAP,184.6419372559,1.701897E-10
CAP,185.0426940918,1.707919E-10
CAP,185.4435577393,1.706823E-10
CAP,185.8442535400,1.708624E-10
CAP,186.2449645996,1.711791E-10
CAP,186.6456756592,1.717518E-10
CAP,187.0464935303,1.690419E-10
CAP,187.4473419189,1.689809E-10
CAP,187.8480682373,1.689456E-10
CAP,188.2487792969,1.717816E-10
CAP,188.6495513916,1.687151E-10
CAP,189.0501861572,1.690302E-10
CAP,189.4509277344,1.691135E-10
CAP,189.8516387939,1.692105E-10
CAP,190.2525024414,1.693273E-10
CAP,190.6532440186,1.693269E-10
CAP,191.0539550781,1.692206E-10
CAP,191.4545593262,1.693262E-10
CAP,191.8551788330,1.694364E-10
CAP,192.2559051514,1.692186E-10
CAP,192.6565399170,1.690747E-10
CAP,193.0572204590,1.690859E-10
CAP,193.4580993652,1.690092E-10
CAP,193.8587799072,1.689712E-10
CAP,194.2595672607,1.689829E-10
CAP,194.6603240967,1.691255E-10
CAP,195.0609741211,1.687571E-10
CAP,195.4615783691,1.716552E-10
CAP,195.8623046875,1.715510E-10
CAP,196.2630462646,1.685892E-10
CAP,196.6636962891,1.690572E-10
CAP,197.0642852783,1.712877E-10
CAP,197.4651336670,1.708259E-10
CAP,197.8659515381,1.708605E-10
CAP,198.2667236328,1.708837E-10
CAP,198.6673278809,1.708840E-10
CAP,199.0679931641,1.709657E-10
CAP,199.4741210938,1.708561E-10
CAP,199.8748474121,1.708815E-10
CAP,200.2755889893,1.707851E-10
CAP,200.6775817871,1.707692E-10
CAP,201.0783996582,1.707825E-10
CAP,201.4790954590,1.707954E-10
CAP,201.8798675537,1.708241E-10
CAP,202.2805633545,1.708167E-10
CAP,202.6813659668,1.708145E-10
CAP,203.0821533203,1.708075E-10
CAP,203.4828491211,1.707854E-10
CAP,203.8835296631,1.707972E-10
CAP,204.2843170166,1.707876E-10
CAP,204.6850280762,1.707788E-10
CAP,205.0857238770,1.707545E-10
CAP,205.4864501953,1.707597E-10
CAP,205.8871459961,1.707854E-10
CAP,206.2878723145,1.707718E-10
CAP,206.6885528564,1.707840E-10
CAP,207.0892944336,1.707976E-10
CAP,207.4899444580,1.707140E-10
CAP,207.8906250000,1.707391E-10
CAP,208.2913513184,1.707718E-10
CAP,208.6921691895,1.707351E-10
CAP,209.0929260254,1.707799E-10
CAP,209.4938201904,1.708153E-10
CAP,209.8946533203,1.707877E-10
CAP,210.2953033447,1.707273E-10
CAP,210.6960296631,1.707510E-10
CAP,211.0967712402,1.707935E-10
CAP,211.4974060059,1.707744E-10
CAP,211.8982086182,1.707690E-10
CAP,212.2991333008,1.708090E-10
CAP,212.6999664307,1.707122E-10
CAP,213.1008300781,1.708389E-10
CAP,213.5017089844,1.707370E-10
CAP,213.9024810791,1.707696E-10
CAP,214.3032073975,1.708275E-10
CAP,214.7038879395,1.707226E-10
CAP,215.1046295166,1.707983E-10
CAP,215.5054473877,1.708275E-10
CAP,215.9061431885,1.707071E-10
CAP,216.3067626953,1.707637E-10
CAP,216.7074584961,1.708285E-10
CAP,217.1082153320,1.706990E-10
CAP,217.5090484619,1.707899E-10
CAP,217.9123382568,1.708016E-10
CAP,218.3130035400,1.707296E-10
CAP,218.7136688232,1.708172E-10
CAP,219.1144256592,1.707534E-10
CAP,219.5150604248,1.707667E-10
CAP,219.9157409668,1.708219E-10
CAP,220.3163604736,1.707413E-10
CAP,220.7170715332,1.708128E-10
CAP,221.1177215576,1.706813E-10
CAP,221.5184478760,1.708167E-10
CAP,221.9195404053,1.707347E-10
CAP,222.3202514648,1.708036E-10
CAP,222.7209167480,1.708664E-10
CAP,223.1216278076,1.706625E-10
CAP,223.5225219727,1.707951E-10
CAP,223.9232635498,1.708311E-10
CAP,224.3240356445,1.708094E-10
CAP,224.7248535156,1.708205E-10
CAP,225.1256408691,1.708227E-10
CAP,225.5263824463,1.708216E-10
CAP,225.9270935059,1.708227E-10
CAP,226.3277282715,1.709496E-10
CAP,226.7284393311,1.706625E-10
CAP,227.1290893555,1.708517E-10
CAP,227.5298767090,1.707859E-10
CAP,227.9305572510,1.708753E-10
CAP,228.3313140869,1.707891E-10
CAP,228.7321777344,1.712448E-10
CAP,229.1328125000,1.710876E-10
CAP,229.5336761475,1.709981E-10
CAP,229.9343719482,1.708785E-10
CAP,230.3350372314,1.708447E-10
CAP,230.7358398438,1.709698E-10
CAP,231.1365966797,1.709179E-10
CAP,231.5374145508,1.709742E-10
CAP,231.9381866455,1.708532E-10
CAP,232.3389434814,1.708252E-10
CAP,232.7397003174,1.708573E-10
CAP,233.1404571533,1.705053E-10
CAP,233.5412445068,1.706369E-10
CAP,233.9420623779,1.707686E-10
CAP,234.3428192139,1.706884E-10
CAP,234.7434539795,1.706980E-10
CAP,235.1441650391,1.707451E-10
CAP,235.5448760986,1.706764E-10
CAP,235.9456329346,1.706638E-10
CAP,236.3463745117,1.706660E-10
CAP,236.7471160889,1.706364E-10
CAP,237.1478424072,1.708458E-10
CAP,237.5486145020,1.692435E-10
CAP,237.9494628906,1.692446E-10
CAP,238.3500976562,1.691220E-10
CAP,238.7509460449,1.691817E-10
CAP,239.1516418457,1.692811E-10
CAP,239.5523834229,1.693118E-10
CAP,239.9529571533,1.693514E-10
CAP,240.3536529541,1.693491E-10
CAP,240.7544250488,1.692955E-10
CAP,241.1551971436,1.717385E-10
CAP,241.5559234619,1.709525E-10
CAP,241.9565429688,1.709900E-10
CAP,242.3571319580,1.715251E-10
CAP,242.7578125000,1.714899E-10
CAP,243.1586303711,1.715525E-10
CAP,243.5592346191,1.715911E-10
CAP,243.9598541260,1.717234E-10
CAP,244.3604431152,1.712449E-10
CAP,244.7611389160,1.710545E-10
CAP,245.1618041992,1.711369E-10
CAP,245.5624847412,1.710018E-10
CAP,245.9631805420,1.708682E-10
CAP,246.3639831543,1.710427E-10
CAP,246.7647247314,1.708411E-10
CAP,247.1657562256,1.704981E-10
CAP,247.5665130615,1.709573E-10
CAP,247.9671936035,1.708598E-10
CAP,248.3680114746,1.713059E-10
CAP,248.7686920166,1.712722E-10
CAP,249.1694183350,1.712827E-10
CAP,249.5701446533,1.713017E-10
CAP,249.9707794189,1.714000E-10
CAP,250.3715515137,1.714206E-10
CAP,250.7724304199,1.713497E-10
CAP,251.1730651855,1.713584E-10
CAP,251.5737762451,1.713989E-10
CAP,251.9744567871,1.715915E-10
CAP,252.3751068115,1.715837E-10
CAP,252.7757415771,1.715528E-10
CAP,253.1763458252,1.715152E-10
CAP,253.5772552490,1.715588E-10
CAP,253.9779815674,1.715278E-10
CAP,254.3787994385,1.713967E-10
CAP,254.7794952393,1.713407E-10
CAP,255.1802520752,1.712945E-10
CAP,255.5811004639,1.710788E-10
CAP,255.9818572998,1.710103E-10
CAP,256.3850708008,1.710618E-10
CAP,256.7857055664,1.711237E-10
CAP,257.1863708496,1.711358E-10
CAP,257.5870971680,1.710747E-10
CAP,257.9878845215,1.710324E-10
CAP,258.3886108398,1.709867E-10
CAP,258.7893981934,1.709761E-10
CAP,259.1901855469,1.709772E-10
CAP,259.5909423828,1.709992E-10
CAP,259.9917297363,1.710103E-10
CAP,260.3925781250,1.709978E-10
CAP,260.7933349609,1.710368E-10
CAP,261.1939392090,1.710165E-10
CAP,261.5946655273,1.710073E-10
CAP,261.9952697754,1.710269E-10
CAP,262.3959045410,1.710327E-10
CAP,262.7964782715,1.710342E-10
CAP,263.1970825195,1.709945E-10
CAP,263.5976867676,1.710467E-10
CAP,263.9983825684,1.710055E-10
CAP,264.4019470215,1.709864E-10
CAP,264.8026428223,1.710154E-10
CAP,265.2034301758,1.709713E-10
CAP,265.6041564941,1.709889E-10
CAP,266.0048828125,1.709992E-10
CAP,266.4056396484,1.709886E-10
CAP,266.8064880371,1.709856E-10
CAP,267.2071228027,1.709915E-10
CAP,267.6079406738,1.710221E-10
CAP,268.0086669922,1.709665E-10
CAP,268.4094848633,1.710000E-10
CAP,268.8101806641,1.709871E-10
CAP,269.2109375000,1.710003E-10
CAP,269.6117858887,1.709599E-10
CAP,270.0125122070,1.709584E-10
CAP,270.4132690430,1.710140E-10
CAP,270.8139953613,1.710037E-10
CAP,271.2147521973,1.709709E-10
CAP,271.6154785156,1.709492E-10
CAP,272.0162353516,1.709588E-10
CAP,272.4169311523,1.710026E-10
CAP,272.8176574707,1.710655E-10
CAP,273.2187194824,1.709554E-10
CAP,273.6195373535,1.709639E-10
CAP,274.0203857422,1.710154E-10
CAP,274.4210510254,1.709959E-10
CAP,274.8218994141,1.710026E-10
CAP,275.2226867676,1.710324E-10
CAP,275.6234130859,1.710375E-10
CAP,276.0242004395,1.710364E-10
CAP,276.4248352051,1.710386E-10
CAP,276.8256225586,1.710651E-10
CAP,277.2264404297,1.710287E-10
CAP,277.6271667480,1.710651E-10
CAP,278.0277709961,1.710431E-10
CAP,278.4283447266,1.710813E-10
CAP,278.8291320801,1.711572E-10
CAP,279.2298583984,1.711516E-10
CAP,279.6305541992,1.711322E-10
CAP,280.0314025879,1.710622E-10
CAP,280.4321899414,1.710416E-10
CAP,280.8328857422,1.710279E-10
CAP,281.2336730957,1.710511E-10
CAP,281.6343383789,1.710769E-10
CAP,282.0350952148,1.709805E-10
CAP,282.4358520508,1.710813E-10
CAP,282.8366699219,1.710070E-10
CAP,283.2373046875,1.711414E-10
CAP,283.6380615234,1.710029E-10
CAP,284.0387573242,1.710228E-10
CAP,284.4393615723,1.710243E-10
CAP,284.8399658203,1.710593E-10
CAP,285.2405700684,1.710272E-10
CAP,285.6411437988,1.710890E-10
CAP,286.0417785645,1.710692E-10
CAP,286.4426269531,1.710743E-10
CAP,286.8434143066,1.710846E-10
CAP,287.2442626953,1.710338E-10
CAP,287.6450195312,1.710368E-10
CAP,288.0457458496,1.711093E-10
CAP,288.4463806152,1.710692E-10
CAP,288.8470153809,1.710960E-10
CAP,289.2477416992,1.711472E-10
CAP,289.6484375000,1.712897E-10
CAP,290.0491943359,1.713343E-10
CAP,290.4500122070,1.712831E-10
CAP,290.8507385254,1.712783E-10
CAP,291.2514343262,1.712632E-10
CAP,291.6521911621,1.712665E-10
CAP,292.0528869629,1.712478E-10
CAP,292.4536437988,1.712938E-10
CAP,292.8544006348,1.712404E-10
CAP,293.2550964355,1.712235E-10
CAP,293.6558227539,1.712227E-10
CAP,294.0565795898,1.712710E-10
CAP,294.4572448730,1.712540E-10
CAP,294.8596191406,1.712005E-10
CAP,295.2602539062,1.710964E-10
CAP,295.6608886719,1.710979E-10
CAP,296.0615234375,1.712032E-10
CAP,296.4621582031,1.712923E-10
CAP,296.8628234863,1.714203E-10
CAP,297.2636108398,1.710854E-10
CAP,297.6643371582,1.712448E-10
CAP,298.0649719238,1.714332E-10
CAP,298.4657287598,1.691848E-10
CAP,298.8664245605,1.689067E-10
CAP,299.2672119141,1.686877E-10
CAP,299.6680297852,1.687277E-10
CAP,300.0687255859,1.690440E-10
CAP,300.4694519043,1.688605E-10
CAP,300.8701477051,1.718465E-10
CAP,301.2709350586,1.694353E-10
CAP,301.6716308594,1.696561E-10
CAP,302.0724487305,1.696843E-10
CAP,302.4731140137,1.696522E-10
CAP,302.8738098145,1.696650E-10
CAP,303.2745971680,1.696066E-10
CAP,303.6753845215,1.696109E-10
CAP,304.0762329102,1.695751E-10
CAP,304.4770202637,1.690592E-10
CAP,304.8777160645,1.691666E-10
CAP,305.2784118652,1.691410E-10
CAP,305.6791992188,1.687665E-10
CAP,306.0799560547,1.715761E-10
CAP,306.4807739258,1.715709E-10
CAP,306.8815002441,1.715606E-10
CAP,307.2822570801,1.714917E-10
CAP,307.6831665039,1.714670E-10
CAP,308.0838623047,1.714501E-10
CAP,308.4845581055,1.714427E-10
CAP,308.8853149414,1.714368E-10
CAP,309.2860107422,1.714427E-10
CAP,309.6866149902,1.714125E-10
CAP,310.0873413086,1.714383E-10
CAP,310.4881591797,1.715602E-10
CAP,310.8889465332,1.688622E-10
CAP,311.2896423340,1.717027E-10
CAP,311.6902465820,1.688097E-10
CAP,312.0911560059,1.693238E-10
CAP,312.4919128418,1.695631E-10
CAP,312.8926391602,1.694198E-10
CAP,313.2933654785,1.688386E-10
CAP,313.6940917969,1.685679E-10
CAP,314.0948181152,1.688142E-10
CAP,314.4954223633,1.692345E-10
CAP,314.8961181641,1.702706E-10
CAP,315.2969360352,1.703110E-10
CAP,315.6977233887,1.689959E-10
CAP,316.0985107422,1.695460E-10
CAP,316.4992065430,1.697579E-10
CAP,316.8998718262,1.697672E-10
CAP,317.3006591797,1.717853E-10
CAP,317.7014465332,1.715337E-10
CAP,318.1022949219,1.704491E-10
CAP,318.5030517578,1.770661E-10
CAP,318.9038391113,1.783697E-10
CAP,319.3047485352,1.790799E-10
CAP,319.7054748535,1.792912E-10
CAP,320.1062622070,1.795931E-10
CAP,320.5071105957,1.789978E-10
CAP,320.9078369141,1.777550E-10
CAP,321.3085327148,1.736266E-10
CAP,321.7091979980,1.723254E-10
CAP,322.1098632812,1.724850E-10
CAP,322.5106811523,1.722961E-10
CAP,322.9113769531,1.701461E-10
CAP,323.3120727539,1.714184E-10
CAP,323.7129211426,1.713582E-10
CAP,324.1137390137,1.713722E-10
CAP,324.5144653320,1.715006E-10
CAP,324.9151306152,1.716784E-10
